Wellbore name,Year,Month,On Stream,Oil(m3),Gas(m3),Water(m3),Oil Rate,Water Cut,GOR
15/9-F-1 C,2014,4,228,11142,1597937,0,48.97789011,0,143.4095537
15/9-F-1 C,2014,5,734,24902,3496230,783,33.93406737,0.030502896,140.3998341
15/9-F-1 C,2014,6,706,19618,2886662,2068,27.790476,0.095382141,147.145326
15/9-F-1 C,2014,7,742,15086,2249366,6244,20.31969487,0.292736968,149.1060231
15/9-F-1 C,2014,8,433,6970,1048191,4530,16.09830083,0.393885139,150.3767773
15/9-F-1 C,2014,9,630,9168,1414100,8318,14.54613676,0.47567085,154.2357841
15/9-F-1 C,2014,10,745,9468,1462064,10365,12.70880537,0.522609115,154.4206511
15/9-F-1 C,2014,11,580,6710,1044188,7234,11.57402441,0.518785448,155.6090833
15/9-F-1 C,2014,12,28,120,25857,183,4.374181818,0.603957462,214.9561892
15/9-F-1 C,2015,1,480,10876,1604935,6851,22.66128826,0.386475937,147.573001
15/9-F-1 C,2015,2,437,9587,1439454,10745,21.9164944,0.528486403,150.1520522
15/9-F-1 C,2015,3,320,5879,856681,11607,18.36060917,0.663788282,145.7134535
15/9-F-1 C,2015,4,263,3924,566710,9815,14.93029822,0.71438366,144.4148357
15/9-F-1 C,2015,5,181,3833,559060,6167,21.16533863,0.616737132,145.866308
15/9-F-1 C,2015,6,466,6345,925337,14549,13.60167629,0.696336462,145.8487635
15/9-F-1 C,2015,7,242,2094,315179,8454,8.66462057,0.801487646,150.5188567
15/9-F-1 C,2015,8,148,2871,427693,5334,19.42612869,0.650091102,148.9688647
15/9-F-1 C,2015,9,384,6460,961548,14767,16.80319341,0.69566348,148.8402838
15/9-F-1 C,2015,10,368,4086,631373,13539,11.10875899,0.768175115,154.5285036
15/9-F-1 C,2015,11,301,3332,508384,11682,11.06044105,0.778075789,152.57407
15/9-F-1 C,2015,12,198,2949,454911,6232,14.92180977,0.678746363,154.237545
15/9-F-1 C,2016,1,388,2981,471676,14036,7.690400109,0.824803793,158.2040759
15/9-F-1 C,2016,2,484,4718,742340,15946,9.738271278,0.771676113,157.3410449
15/9-F-1 C,2016,3,357,2918,476830,13411,8.177804846,0.821323474,163.43794
15/9-F-1 C,2016,4,141,1672,274213,4441,11.87069142,0.7265272,164.033505
15/9-F-11,2013,7,113,3923,590505,0,34.74361366,0,150.5206419
15/9-F-11,2013,8,587,25496,3871942,520,43.45550639,0.019988023,151.8642799
15/9-F-11,2013,9,539,23775,3661574,1574,44.11643084,0.062078553,154.0089034
15/9-F-11,2013,10,678,34115,5272724,1927,50.27929923,0.0534538,154.5596239
15/9-F-11,2013,11,712,35386,5413486,3791,49.69992978,0.096770167,152.9823262
15/9-F-11,2013,12,662,33406,5190659,4963,50.45550534,0.129355957,155.3821968
15/9-F-11,2014,1,668,34552,5193353,4343,51.71865312,0.111669725,150.3038205
15/9-F-11,2014,2,563,28190,4255283,2841,50.10065818,0.091564528,150.950238
15/9-F-11,2014,3,655,33291,5039850,3692,50.78686576,0.099835573,151.3887099
15/9-F-11,2014,4,692,35429,5301959,4124,51.23335751,0.104276066,149.6513931
15/9-F-11,2014,5,732,34832,4902619,5017,47.61706083,0.125910962,140.7509236
15/9-F-11,2014,6,709,33899,4990685,6084,47.78943631,0.152157346,147.2237388
15/9-F-11,2014,7,743,33760,5035917,6801,45.45825384,0.167668939,149.1667081
15/9-F-11,2014,8,599,26038,4033770,6077,43.45988091,0.18921681,154.9213336
15/9-F-11,2014,9,691,33222,5220329,8349,48.10082988,0.200839822,157.136393
15/9-F-11,2014,10,745,33852,5237208,10288,45.43855034,0.233076316,154.710257
15/9-F-11,2014,11,692,26612,4153116,9404,38.43416345,0.261101183,156.0647198
15/9-F-11,2014,12,734,8548,1413112,3079,11.64791781,0.264819639,165.3164325
15/9-F-11,2015,1,708,29562,4358979,13861,41.73430608,0.319203913,147.4530966
15/9-F-11,2015,2,632,25347,3836074,14061,40.09578676,0.356803896,151.3410027
15/9-F-11,2015,3,744,44316,6516700,19387,59.57811812,0.304336544,147.0501072
15/9-F-11,2015,4,720,54556,7956467,23840,75.77188889,0.304095593,145.8410164
15/9-F-11,2015,5,744,55029,8027510,24426,73.96400538,0.307414346,145.8772347
15/9-F-11,2015,6,719,48231,7065852,22892,67.09791524,0.321860862,146.4999055
15/9-F-11,2015,7,744,43785,6508853,36196,58.85034946,0.452558927,148.6560199
15/9-F-11,2015,8,632,31498,4769902,31870,49.83751935,0.502937496,151.4343598
15/9-F-11,2015,9,719,31425,4748110,37412,43.72271504,0.54348903,151.0953639
15/9-F-11,2015,10,627,29725,4501570,38023,47.41612432,0.561240633,151.4416598
15/9-F-11,2015,11,671,36410,5558573,57059,54.23772568,0.610455955,152.6651534
15/9-F-11,2015,12,740,35934,5504665,62976,48.54838978,0.636701702,153.1886453
15/9-F-11,2016,1,736,31603,4949941,67981,42.91006168,0.682646957,156.6275372
15/9-F-11,2016,2,696,25955,4093287,66610,37.31338702,0.719607269,157.7096658
